FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Jaidon,Anthony,MID,BOU,5200000,4,56,1.6969696969697,3.26340326340326E-07,1.07692307692308E-05,0,17415,2,27,0,0,0,3,0,10.8,24,-3,0,56,3,0.2,0,1,4,0,2,0,1,0.1,12691,0,-1,0,1,1120,16,0,0,179,Leeds United F.C.,Chelsea,Crystal Palace,Man Utd,Everton,1.1,1.2,0.8,0.9,0.9
Michail,Antonio,FWD,WHU,7000000,7,78,2.6,3.71428571428571E-07,1.11428571428571E-05,0,569999,2,26,0,0,0,5,0,11.1,1430,-5,0,78,5,0.4,0,3.1,4,0,4,0,3,2,314061,0,-1,0,0,1604,713,0,0,217,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,3.9,2.5,1.7,3.1,2.4
,Antony,MID,MUN,7300000,1,68,2.19354838709677,3.00486080424216E-07,9.31506849315069E-06,0,1424078,4,20,0,0,0,4,0,9.3,1637,-2,0,68,2,0.5,0,3.4,4,0,9,0,1,3.1,1634361,0,-1,0,1,1452,413,0,0,211,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,2.8,1.1,2,3.2,1.5
Cameron,Archer,FWD,AVL,4200000,0,6,1,2.38095238095238E-07,1.42857142857143E-06,0,885488,0,1,0,0,0,0,0,1.4,178,-3,0,6,3,0,0,0,0,0,0,0,0,1.7,343635,0,-1,0,0,43,0,0,0,13,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0,0,0,0,0
Alphonse,Areola,GLK,WHU,4300000,0,7,0.21875,5.08720930232558E-08,1.62790697674419E-06,0,140765,0,7,0,9,0,0,0,1.6,115,-2,0,7,2,0,0,0,0,0,0,0,0,0.9,75301,0,-1,0,0,307,54,0,0,42,Crystal Palace,Man City,Man Utd,Brentford F.C.,Leeds United F.C.,0.2,0.1,0.1,0.1,0.1
,Aribo,MID,SOU,5000000,0,44,1.33333333333333,2.66666666666667E-07,8.8E-06,0,97911,2,21,0,0,0,2,0,8.8,21,-5,0,44,5,0.1,0,0.3,3,0,1,0,0,0.3,58145,0,-1,0,0,1150,1,0,0,155,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,0.7,0.7,0.7,0.7,0.7
Kepa,Arrizabalaga,GLK,CHE,4600000,0,106,4.4,9.56521739130435E-07,2.30434782608696E-05,0,1197261,1,23,0,73,0,0,0,23,2618,1,0,106,-1,0.7,0,3,15,0,9,0,0,7.2,1932288,0,-1,0,2,2115,1595,0,0,486,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,5.7,5,5.5,8.9,5.5
Harry,Arter,MID,NFO,4100000,0,0,0,0,0,0,68287,0,0,0,0,0,0,0,0,181,-4,0,0,4,0,0,0,0,0,0,0,0,0.3,68142,0,-1,0,0,0,405,0,0,0,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0,0,0,0,0
,Arthur,MID,LIV,4800000,0,0,0,0,0,0,8310,0,0,0,0,0,0,0,0,5,-2,0,0,2,0,0,0,0,0,0,0,0,0,8485,0,-1,0,0,0,2,0,0,0,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0,0,0,0,0
Harrison,Ashby,DEF,NEW,3800000,0,0,0,0,0,0,89298,0,0,0,0,0,0,0,0,296,-2,0,0,2,0,0,0,0,0,0,0,0,0.6,116174,0,-1,0,0,0,220,0,0,0,Southampton,Arsenal,Leeds United F.C.,Brighton,Leicester,0,0,0,0,0
Pierre-Emerick,Aubameyang,FWD,CHE,8400000,0,24,0.75,8.92857142857143E-08,2.85714285714286E-06,0,555170,1,5,0,0,0,1,0,2.9,100,-6,0,24,6,0,0,0.3,3,0,1,0,0,0.7,576884,0,-1,0,0,501,59,0,0,59,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0.4,0.4,0.5,0.8,0.4
Ludwig,Augustinsson,DEF,AVL,4300000,0,2,0.7,1.62790697674419E-07,4.65116279069767E-07,0,7353,1,0,0,0,0,0,0,0.5,2,-2,0,2,2,0,0,0,0,0,0,0,0,0,2106,0,-1,0,0,76,0,0,0,5,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0,0,0,0,0
Serge,Aurier,DEF,NFO,4300000,1,60,3,6.97674418604651E-07,1.3953488372093E-05,0,201865,2,26,0,0,0,1,0,14,137,-2,0,60,2,0.1,0,0.4,8,0,5,0,0,0.3,226652,0,-1,0,1,1610,178,0,0,289,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,1.6,3.6,2.4,3.7,3.1
Brandon,Austin,GLK,TOT,3900000,0,0,0,0,0,0,25585,0,0,0,0,0,0,0,0,24,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,16758,0,-1,0,0,0,18,0,0,0,Liverpool,Crystal Palace,Aston Villa,Brentford F.C.,Leeds United F.C.,0,0,0,0,0
Taiwo,Awoniyi,FWD,NFO,5600000,1,62,2.7,4.82142857142857E-07,1.10714285714286E-05,0,251324,1,24,0,0,0,4,0,11.1,102,-4,0,62,4,0.3,0,1.7,9,0,4,0,1,0.4,177457,0,-1,0,0,1069,91,0,0,168,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,1.5,3.3,1.6,2.5,1.9
Yasin,Ayari,MID,BHA,4500000,1,2,0.0666666666666667,1.48148148148148E-08,4.44444444444444E-07,0,387,0,0,0,0,0,0,0,0.4,6,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0,712,0,-1,0,0,20,15,0,0,9,Wolverhampton,Man Utd,Everton,Arsenal,Newcastle,0,0,0,0,0
Luke,Ayling,DEF,LEE,4500000,0,48,1.9,4.22222222222222E-07,1.06666666666667E-05,0,52196,3,37,0,0,0,1,0,10.7,236,0,0,48,0,0.1,0,0.4,2,0,3,0,1,0.3,71634,0,-1,0,1,1688,76,0,0,267,Bournemouth,Man City,Newcastle,West Ham,Tottenham,1.3,1,1.7,1.1,1.4
Cesar,Azpilicueta,DEF,CHE,4700000,0,39,1.21875,2.59308510638298E-07,8.29787234042553E-06,0,348311,3,12,0,0,0,0,0,8.3,91,-3,0,39,3,0,0,-0.2,4,0,3,0,0,1.1,256339,1,-1,0,1,1146,93,0,0,200,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0.8,0.6,0.8,1.6,0.8
,B.Williams,DEF,MUN,3800000,0,0,0,0,0,0,602160,0,0,0,0,0,0,0,0,484,-2,0,0,2,0,0,0,0,0,0,0,0,2.6,611874,0,-1,0,0,0,187,0,0,0,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,0,0,0,0,0
Loic,Bade,DEF,NFO,4500000,0,0,0,0,0,0,2385,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Southampton,Chelsea,Arsenal,Crystal Palace,0,0,0,0,0
Benoit,Badiashile,DEF,CHE,5000000,0,32,1,2E-07,6.4E-06,0,142814,1,6,0,0,0,0,0,6.4,481,0,0,32,0,0,0,0.2,2,0,4,0,0,0.4,182324,0,-1,0,0,724,90,0,0,169,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0.6,0.5,0.6,1.2,0.5
Leon,Bailey,MID,AVL,4300000,0,90,2.72727272727273,6.34249471458774E-07,2.09302325581395E-05,0,2365263,4,31,0,0,0,4,0,20.9,1029,-7,0,90,7,0.1,0,0.6,6,0,7,0,4,2.7,1080892,0,-1,0,2,1731,27,0,0,202,Man Utd,Wolverhampton,Tottenham,Liverpool,Brighton,0,1.6,2.6,1.4,2
Eric,Bailly,DEF,MUN,4000000,0,0,0,0,0,0,149825,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.3,20468,0,-1,0,0,0,0,0,0,0,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,0,0,0,0,0
Stefan,Bajcetic,MID,LIV,4300000,0,22,2,4.65116279069767E-07,5.11627906976744E-06,0,37739,2,4,0,0,0,1,0,5.1,36,-2,0,22,2,0,0,0,0,0,3,0,0,0,40430,0,-1,0,0,522,6,0,0,85,Tottenham,Fulham,Brentford F.C.,Leicester,Aston Villa,0,0,0,0,0
Ellery,Balcombe,GLK,BRE,4000000,0,0,0,0,0,0,10298,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Nottingham Forest FC,Liverpool,West Ham,Tottenham,Man City,0,0,0,0,0
Kofi,Balmer,DEF,CRY,4000000,0,0,0,0,0,0,5756,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7971,0,-1,0,0,0,37,0,0,0,West Ham,Tottenham,Bournemouth,Fulham,Nottingham Forest FC,0,0,0,0,0
Patrick,Bamford,FWD,LEE,7100000,6,65,2.6,3.66197183098592E-07,9.15492957746479E-06,0,276235,2,26,0,0,0,4,0,9.2,404,-4,0,65,4,0.4,1,2.9,3,0,1,0,4,0.5,182688,0,-1,0,0,1308,106,0,0,156,Bournemouth,Man City,Newcastle,West Ham,Tottenham,2.2,1.8,2.3,1.9,2.3
Shandon,Baptiste,MID,BRE,4500000,1,25,0.757575757575758,1.68350168350168E-07,5.55555555555556E-06,0,56982,1,6,0,0,0,0,0,5.6,28,0,0,25,0,0.2,0,1.1,0,0,1,0,2,0.2,39231,0,-1,0,0,552,38,0,1,110,Nottingham Forest FC,Liverpool,West Ham,Tottenham,Man City,0.5,0.4,0.4,0.4,0.4
Ross,Barkley,MID,CHE,4900000,0,0,0,0,0,0,6974,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1910,0,-1,0,0,0,0,0,0,0,Arsenal,Bournemouth,Nottingham Forest FC,Man City,Man Utd,0,0,0,0,0
Harvey,Barnes,MID,LEI,6700000,0,115,4,5.97014925373134E-07,1.71641791044776E-05,0,696985,2,41,0,0,0,10,0,17.2,415,-3,0,115,3,0.3,0,1.9,0,0,6,0,2,1.3,615909,0,-1,0,0,2355,204,0,0,299,Everton,Fulham,Liverpool,Newcastle,West Ham,4.5,3.6,4.1,3,4
Lewis,Bate,MID,LEE,4500000,0,0,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Bournemouth,Man City,Newcastle,West Ham,Tottenham,0,0,0,0,0
Gavin,Bazunu,GLK,SOU,4500000,0,84,2.6,5.77777777777778E-07,1.86666666666667E-05,0,111020,0,56,0,69,0,0,0,18.7,177,0,0,84,0,0.2,0,0.8,3,0,4,0,0,0.6,98998,0,-1,1,0,2880,68,0,0,485,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,2.1,1.6,2.7,2.2,2.5
,Bech,DEF,BRE,4500000,0,4,1,2.22222222222222E-07,8.88888888888889E-07,0,7114,0,0,0,0,0,0,0,0.9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1768,0,-1,0,0,18,0,0,0,12,Nottingham Forest FC,Liverpool,West Ham,Tottenham,Man City,0,0,0,0,0
Jan,Bednarek,DEF,SOU,4200000,0,31,0.939393939393939,2.23665223665224E-07,7.38095238095238E-06,0,49901,4,27,0,0,0,0,0,7.4,44,-3,0,31,3,0.2,0,0.7,2,0,3,0,0,0.2,23501,1,-1,0,0,1410,34,0,0,263,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,0.5,0.5,0.5,0.5,0.5
Asmir,Begovic,GLK,EVE,3900000,0,9,0.272727272727273,6.99300699300699E-08,2.30769230769231E-06,0,133575,0,0,0,4,0,0,0,2.3,68,-1,0,9,1,0,0,0,2,0,1,0,0,0.8,147358,0,-1,0,1,90,21,0,0,30,Leicester,Brighton,Man City,Wolverhampton,Bournemouth,0.1,0.1,0.1,0.1,0.1
Armel,Bella-Kotchap,DEF,SOU,4500000,1,49,2.1,4.66666666666667E-07,1.08888888888889E-05,0,49291,4,37,0,0,0,0,0,10.9,71,0,0,49,0,0.2,0,0.8,5,0,3,0,2,0.2,49839,0,-1,0,1,1844,37,0,0,335,Newcastle,Nottingham Forest FC,Fulham,Brighton,Liverpool,1.5,1.1,2,1.6,1.8
Rhys,Bennett,DEF,MUN,4000000,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,-1,0,0,0,15,0,0,0,Aston Villa,Brighton,West Ham,Wolverhampton,Bournemouth,0,0,0,0,0
